LOAN_ID,CUSTOMER_ID,ACCOUNT_ID,LOAN_TYPE,PRINCIPAL,INTEREST_RATE,CREDIT_GRADE,COLLATERAL_VALUE,LOAN_MEMO,STATUS,ORIGINATION_DATE
LOAN_000054,CUST_000177,ACCT_00002846,BUSINESS,17571.64,7.45,B,324723.58,Watch school long against foot.,ACTIVE,2022-08-24T14:26:28.621846
LOAN_000055,CUST_000194,ACCT_00004739,BUSINESS,141624.39,8.9,B,217509.83,Between executive successful three expert reduce great.,DEFAULTED,2024-03-24T14:26:28.622047
LOAN_000056,CUST_000193,ACCT_00007025,PERSONAL,476259.63,8.01,A,711550.01,Allow particular traditional his civil yet.,PAID_OFF,2025-07-18T14:26:28.622248
LOAN_000057,CUST_003221,ACCT_00005477,HOME,363329.2,4.35,D,682417.45,Mother foot democratic.,ACTIVE,2021-10-27T14:26:28.622451
LOAN_000058,CUST_001955,ACCT_00004002,BUSINESS,471009.79,8.68,D,480859.82,Ground make natural.,PAID_OFF,2023-06-04T14:26:28.622668
LOAN_000059,CUST_002813,ACCT_00006390,PERSONAL,105894.53,8.56,A,53094.14,Off range perform again.,PAID_OFF,2026-03-17T14:26:28.622893
LOAN_000060,CUST_000940,ACCT_00003814,PERSONAL,125070.24,4.44,B,61391.95,Current west fear direction future size million.,ACTIVE,2023-05-01T14:26:28.623126
LOAN_000061,CUST_002762,ACCT_00002336,BUSINESS,40702.91,5.65,C,329325.95,Among actually record upon.,DEFAULTED,2023-06-13T14:26:28.623351
LOAN_000062,CUST_002494,ACCT_00000518,PERSONAL,231974.32,7.62,D,60844.25,What allow heart show.,DEFAULTED,2025-11-06T14:26:28.623574
LOAN_000063,CUST_001271,ACCT_00006818,PERSONAL,316003.05,8.19,C,678262.79,Energy yet couple know political.,DEFAULTED,2021-10-17T14:26:28.623791
LOAN_000064,CUST_001783,ACCT_00006900,HOME,42824.48,8.59,A,339613.2,Tell several world box happy federal toward down.,DEFAULTED,2025-11-14T14:26:28.624007
LOAN_000065,CUST_000252,ACCT_00006496,HOME,270835.51,4.89,B,734597.04,Card medical region board fund.,DEFAULTED,2025-09-29T14:26:28.624223
LOAN_000066,CUST_000897,ACCT_00002459,BUSINESS,31314.95,5.97,C,675992.79,Former number worker away.,ACTIVE,2025-02-14T14:26:28.624439
LOAN_000067,CUST_001195,ACCT_00000449,HOME,150287.38,5.61,B,255116.78,Middle standard attack loss.,PAID_OFF,2023-12-15T14:26:28.624655
LOAN_000068,CUST_002626,ACCT_00005804,BUSINESS,345213.84,5.17,A,290287.86,Watch mean she.,PAID_OFF,2026-06-15T14:26:28.624870
LOAN_000069,CUST_002715,ACCT_00000717,AUTO,97668.17,4.07,A,141745.26,Ever short identify.,DEFAULTED,2023-09-01T14:26:28.625087
LOAN_000070,CUST_001142,ACCT_00004440,AUTO,426647.78,4.7,A,338978.02,Line police financial born must apply.,PAID_OFF,2022-10-15T14:26:28.625303
LOAN_000071,CUST_001598,ACCT_00002287,AUTO,403208.48,5.68,D,351550.51,Class ahead television home mother concern human hotel.,PAID_OFF,2025-04-10T14:26:28.625520
LOAN_000072,CUST_000881,ACCT_00005331,AUTO,381125.52,5.52,D,534936.5,Check human notice camera everybody onto.,ACTIVE,2024-11-03T14:26:28.625736
LOAN_000073,CUST_001028,ACCT_00000487,HOME,429563.57,6.93,B,487388.09,Visit those knowledge pull.,ACTIVE,2025-05-20T14:26:28.625953
LOAN_000074,CUST_001277,ACCT_00000749,AUTO,384618.29,8.1,A,265332.6,Agency threat pay.,PAID_OFF,2024-12-06T14:26:28.626169
LOAN_000075,CUST_000168,ACCT_00005463,AUTO,84194.72,5.82,D,353208.08,Fire Democrat for movie.,PAID_OFF,2026-06-22T14:26:28.626396
LOAN_000076,CUST_001265,ACCT_00002685,BUSINESS,449222.66,8.42,C,548747.28,By way early type forward office.,ACTIVE,2025-01-02T14:26:28.626612
LOAN_000077,CUST_003448,ACCT_00002804,AUTO,148129.62,4.01,D,72589.46,Threat middle environment method gun material follow.,DEFAULTED,2026-03-03T14:26:28.626829
LOAN_000078,CUST_001006,ACCT_00005675,PERSONAL,171026.6,6.0,A,480292.97,Form while book maybe white certainly threat.,PAID_OFF,2022-12-02T14:26:28.627056
LOAN_000079,CUST_001092,ACCT_00004426,PERSONAL,459130.04,9.04,C,719642.06,Pattern middle by suddenly data answer usually.,ACTIVE,2025-11-15T14:26:28.627273
LOAN_000080,CUST_001084,ACCT_00006294,AUTO,5480.4,8.33,A,741610.98,Region likely think method wish see material step.,PAID_OFF,2023-04-16T14:26:28.627491
LOAN_000081,CUST_000258,ACCT_00005414,AUTO,192378.23,5.95,B,120476.0,President kitchen but drug.,DEFAULTED,2024-05-10T14:26:28.627707
LOAN_000082,CUST_000476,ACCT_00003336,HOME,266608.9,8.31,C,347618.1,Gas day career idea brother.,DEFAULTED,2023-03-29T14:26:28.627951
LOAN_000083,CUST_002496,ACCT_00003822,BUSINESS,382917.28,7.4,A,418695.7,Success certainly remember glass.,ACTIVE,2026-08-09T14:26:28.628194
LOAN_000084,CUST_001583,ACCT_00003962,BUSINESS,122910.1,6.39,B,622205.15,Home past list.,DEFAULTED,2024-04-04T14:26:28.628414
LOAN_000085,CUST_002260,ACCT_00005830,AUTO,164101.88,8.63,C,222323.32,But water while military write spring.,DEFAULTED,2025-04-05T14:26:28.628622
LOAN_000086,CUST_001285,ACCT_00005031,BUSINESS,81442.26,7.46,D,8905.51,Short group benefit conference Congress national base.,ACTIVE,2023-02-18T14:26:28.628823
LOAN_000087,CUST_000192,ACCT_00003906,BUSINESS,438612.23,8.48,D,113099.07,Pull same on west become should ten.,DEFAULTED,2022-12-19T14:26:28.629023
LOAN_000088,CUST_000786,ACCT_00001751,AUTO,321037.98,7.56,C,550259.64,Against clearly natural.,ACTIVE,2022-02-13T14:26:28.629223
LOAN_000089,CUST_003077,ACCT_00006849,HOME,41881.04,8.4,D,488827.35,Explain party writer.,ACTIVE,2023-06-25T14:26:28.629423
LOAN_000090,CUST_000311,ACCT_00003180,AUTO,78666.95,7.77,B,315632.43,Bit sense point wife into PM difference.,ACTIVE,2022-01-19T14:26:28.629623
LOAN_000091,CUST_001396,ACCT_00003535,AUTO,342602.53,3.87,B,613279.65,Cut little art investment color information.,ACTIVE,2021-11-06T14:26:28.629823
LOAN_000092,CUST_003480,ACCT_00003962,BUSINESS,112771.56,6.28,D,50812.1,Figure who step task lot south deal.,DEFAULTED,2024-11-13T14:26:28.630023
LOAN_000093,CUST_002174,ACCT_00005068,PERSONAL,31118.35,6.81,D,399102.81,Product statement occur state knowledge once lot.,PAID_OFF,2026-04-11T14:26:28.630223
LOAN_000094,CUST_002203,ACCT_00000851,HOME,316519.69,8.29,B,381601.73,Make key people treat kid.,PAID_OFF,2026-01-19T14:26:28.630424
LOAN_000095,CUST_002628,ACCT_00006876,AUTO,280126.54,5.39,C,74591.94,History student tonight character.,DEFAULTED,2024-09-25T14:26:28.630624
LOAN_000096,CUST_001872,ACCT_00006157,PERSONAL,243403.34,3.68,B,744235.65,Official most consider prevent care real.,DEFAULTED,2026-01-16T14:26:28.630824
LOAN_000097,CUST_002743,ACCT_00001034,AUTO,421886.5,3.55,B,139787.88,Sell forget movie.,PAID_OFF,2022-05-01T14:26:28.631025
LOAN_000098,CUST_002906,ACCT_00003597,AUTO,103837.54,3.98,C,480152.83,Win treatment behind author car improve.,PAID_OFF,2026-05-14T14:26:28.631228
LOAN_000099,CUST_003079,ACCT_00005580,HOME,365953.24,8.53,C,519775.08,Thousand politics sea now exactly then miss shake.,PAID_OFF,2022-05-16T14:26:28.631432
LOAN_000100,CUST_000922,ACCT_00005044,AUTO,163430.45,5.24,D,199963.81,Many Mrs group hot.,PAID_OFF,2022-12-10T14:26:28.631646
LOAN_000101,CUST_000739,ACCT_00001007,BUSINESS,341757.79,8.57,B,506632.02,Into field hit scene public media sport after.,DEFAULTED,2022-07-25T14:26:28.631861
LOAN_000102,CUST_003201,ACCT_00003574,HOME,72820.22,8.77,A,25887.53,Business third look although stuff.,ACTIVE,2022-08-04T14:26:28.632075
LOAN_000103,CUST_000921,ACCT_00002436,AUTO,290807.4,8.14,B,19517.96,Trial newspaper mission west phone now.,DEFAULTED,2025-07-11T14:26:28.632289
LOAN_000104,CUST_001443,ACCT_00004119,AUTO,185286.89,5.98,C,678914.22,Laugh character head step now rather.,DEFAULTED,2025-08-30T14:26:28.632503
LOAN_000105,CUST_000970,ACCT_00000607,BUSINESS,471077.65,4.0,D,170157.74,Candidate ahead point gun newspaper.,PAID_OFF,2025-05-19T14:26:28.632718
LOAN_000106,CUST_000380,ACCT_00006908,PERSONAL,483026.9,4.2,C,560560.96,Reach two rock.,ACTIVE,2025-08-11T14:26:28.632932
LOAN_000107,CUST_001197,ACCT_00002477,AUTO,60423.93,5.45,C,43326.52,Worry case hand cell computer third health.,PAID_OFF,2025-03-31T14:26:28.633158
LOAN_000108,CUST_001009,ACCT_00000269,AUTO,425413.29,4.71,B,339604.92,Place walk produce spend event rich expect century.,ACTIVE,2024-06-23T14:26:28.633373
LOAN_000109,CUST_002894,ACCT_00006221,HOME,259211.11,3.5,C,720807.61,Think soldier short word member.,PAID_OFF,2023-11-27T14:26:28.633588
LOAN_000110,CUST_003227,ACCT_00002334,HOME,35054.25,4.3,C,75222.32,Sometimes clear responsibility.,ACTIVE,2026-08-15T14:26:28.633802
LOAN_000111,CUST_000556,ACCT_00006705,BUSINESS,76556.43,7.15,B,82346.9,Last long seat.,ACTIVE,2026-07-20T14:26:28.634016
LOAN_000112,CUST_001609,ACCT_00006703,HOME,157483.38,5.03,A,126160.62,Character school decide these hundred letter.,DEFAULTED,2025-06-23T14:26:28.634236
LOAN_000113,CUST_002398,ACCT_00000962,PERSONAL,101110.62,6.59,C,605565.42,Sound fill treatment child.,ACTIVE,2022-07-25T14:26:28.634465
LOAN_000114,CUST_002378,ACCT_00006933,PERSONAL,408597.92,4.89,B,170082.96,Theory decade rest federal test feeling.,PAID_OFF,2023-02-10T14:26:28.634679
LOAN_000115,CUST_001228,ACCT_00005126,BUSINESS,413822.74,8.65,D,687875.48,Air bring outside think.,ACTIVE,2023-02-16T14:26:28.634893
LOAN_000116,CUST_000292,ACCT_00000288,BUSINESS,96382.35,6.56,D,519394.66,So participant home note model.,PAID_OFF,2024-05-03T14:26:28.635107
LOAN_000117,CUST_000023,ACCT_00002298,PERSONAL,450488.98,4.91,D,100031.34,Hand forget sister government left form.,ACTIVE,2025-10-31T14:26:28.635332
LOAN_000118,CUST_000240,ACCT_00002059,BUSINESS,129523.37,8.59,A,115087.32,Mention dog economy since million.,DEFAULTED,2022-03-30T14:26:28.635547
LOAN_000119,CUST_001343,ACCT_00003645,HOME,113147.22,5.67,B,352727.32,Nor collection spring color price foot foot appear.,DEFAULTED,2026-02-13T14:26:28.635761
LOAN_000120,CUST_001616,ACCT_00005569,HOME,431191.09,7.76,A,49989.58,Open season available research need understand.,ACTIVE,2023-10-13T14:26:28.635975
LOAN_000121,CUST_001704,ACCT_00004818,HOME,313732.86,5.64,C,250582.59,Season leader ground daughter seem suddenly order recently.,DEFAULTED,2021-12-30T14:26:28.636206
LOAN_000122,CUST_002206,ACCT_00004650,AUTO,311186.49,5.47,A,87430.58,Benefit compare staff chair.,PAID_OFF,2025-10-10T14:26:28.636425
LOAN_000123,CUST_000987,ACCT_00003400,AUTO,283758.47,5.95,C,146075.75,Sound add learn Democrat check.,ACTIVE,2025-03-26T14:26:28.636639
LOAN_000124,CUST_000942,ACCT_00005806,BUSINESS,251804.91,4.91,B,560735.61,Usually skill throughout civil provide during.,DEFAULTED,2024-12-10T14:26:28.636853
LOAN_000125,CUST_000445,ACCT_00004826,BUSINESS,134170.87,6.77,B,630502.55,Radio lay heart purpose indicate.,ACTIVE,2023-03-15T14:26:28.637067
LOAN_000126,CUST_001761,ACCT_00003655,PERSONAL,364754.53,8.44,D,388365.07,Cell despite live wrong sort impact opportunity.,PAID_OFF,2025-12-14T14:26:28.637285
LOAN_000127,CUST_002749,ACCT_00001515,BUSINESS,176170.14,4.97,D,746491.81,Activity memory government as compare.,ACTIVE,2023-03-24T14:26:28.637503
LOAN_000128,CUST_002856,ACCT_00004391,BUSINESS,332622.56,5.73,C,384149.36,Reason now child analysis.,ACTIVE,2024-08-27T14:26:28.637717
LOAN_000129,CUST_002298,ACCT_00002800,PERSONAL,92461.73,7.95,B,234740.89,Structure sit around seven.,PAID_OFF,2026-07-13T14:26:28.637933
LOAN_000130,CUST_000676,ACCT_00004209,AUTO,134635.03,4.47,D,257374.81,Quickly theory build bit data.,DEFAULTED,2023-05-10T14:26:28.638147
LOAN_000131,CUST_000913,ACCT_00000714,HOME,370872.32,6.63,D,666613.93,Level low huge skill relationship.,DEFAULTED,2022-10-23T14:26:28.638361
LOAN_000132,CUST_002983,ACCT_00003396,PERSONAL,458342.35,6.52,B,583255.9,Common dream pay spring kind.,DEFAULTED,2022-06-06T14:26:28.638575
LOAN_000133,CUST_000935,ACCT_00005899,AUTO,272134.14,7.43,C,627941.7,Clearly pattern picture hospital production rise prevent.,PAID_OFF,2021-11-25T14:26:28.638788
LOAN_000134,CUST_002418,ACCT_00000760,AUTO,263679.32,6.65,A,664860.75,Member image pass table easy subject how.,DEFAULTED,2025-10-22T14:26:28.639002
LOAN_000135,CUST_001026,ACCT_00000197,BUSINESS,143857.65,6.24,D,143444.59,School many set fund reduce.,PAID_OFF,2022-09-14T14:26:28.639216
LOAN_000136,CUST_000519,ACCT_00004546,HOME,44474.56,7.55,A,238884.59,Indicate open third require they long.,DEFAULTED,2026-08-05T14:26:28.639441
LOAN_000137,CUST_002106,ACCT_00005651,AUTO,380614.88,6.8,C,487682.56,Scene care section fund above let not.,ACTIVE,2022-02-23T14:26:28.639655
LOAN_000138,CUST_000056,ACCT_00001323,HOME,384326.62,8.65,D,365526.89,Organization everyone rest memory store positive.,PAID_OFF,2026-01-04T14:26:28.639870
LOAN_000139,CUST_002081,ACCT_00005081,BUSINESS,47235.58,3.63,D,431496.65,Would good near can create.,DEFAULTED,2025-09-03T14:26:28.640084
LOAN_000140,CUST_002516,ACCT_00001496,PERSONAL,255912.86,8.56,B,388193.01,Consider relationship person hotel together within company peace.,ACTIVE,2022-07-29T14:26:28.640298
LOAN_000141,CUST_001357,ACCT_00000440,BUSINESS,332258.11,8.88,D,595425.32,Remember effort next determine.,DEFAULTED,2023-10-09T14:26:28.640512
LOAN_000142,CUST_001241,ACCT_00001907,BUSINESS,476343.39,5.7,A,470207.21,Suddenly trial play wear do there.,PAID_OFF,2026-01-15T14:26:28.640726
LOAN_000143,CUST_002149,ACCT_00005036,PERSONAL,270654.22,8.58,D,463372.24,Produce most least various.,ACTIVE,2023-01-28T14:26:28.640940
LOAN_000144,CUST_003303,ACCT_00000462,PERSONAL,295464.25,5.38,A,143050.99,Beat thing race manage people nature beyond.,DEFAULTED,2023-07-16T14:26:28.641154
LOAN_000145,CUST_002246,ACCT_00002573,HOME,318844.62,7.07,D,650607.67,Kitchen some sound.,PAID_OFF,2022-08-05T14:26:28.641368
LOAN_000146,CUST_000041,ACCT_00003659,AUTO,345148.85,9.24,D,493802.68,Force oil because respond.,DEFAULTED,2025-11-09T14:26:28.641582
LOAN_000147,CUST_003487,ACCT_00001786,BUSINESS,102099.61,9.31,A,718355.94,Deep property training project floor bank.,ACTIVE,2024-08-07T14:26:28.641796
LOAN_000148,CUST_001261,ACCT_00002236,BUSINESS,164305.59,3.56,D,508787.45,Message increase claim difference describe.,ACTIVE,2022-04-25T14:26:28.642011
LOAN_000149,CUST_003057,ACCT_00002421,AUTO,160683.91,5.86,C,173883.37,Among money style region special know off.,PAID_OFF,2025-03-02T14:26:28.642225
LOAN_000150,CUST_002597,ACCT_00001164,HOME,30073.97,9.1,A,536680.51,Although side money short carry.,DEFAULTED,2025-11-29T14:26:28.642440
LOAN_000151,CUST_001119,ACCT_00005159,AUTO,272723.97,5.66,B,724674.45,Piece term or condition buy whatever.,DEFAULTED,2022-08-02T14:26:28.642654
LOAN_000152,CUST_003267,ACCT_00003047,AUTO,113598.86,6.52,B,215949.25,Amount young start important.,PAID_OFF,2023-03-24T14:26:28.642868
LOAN_000153,CUST_002598,ACCT_00005125,BUSINESS,263434.08,5.47,B,87983.12,Movie determine world.,DEFAULTED,2024-04-28T14:26:28.643084
LOAN_000154,CUST_000635,ACCT_00002054,BUSINESS,308709.98,5.68,A,278157.89,Specific past option morning financial drop true.,ACTIVE,2022-03-01T14:26:28.643298
LOAN_000155,CUST_001320,ACCT_00006551,BUSINESS,428172.0,7.6,A,599959.36,Peace administration upon bad set watch nation.,PAID_OFF,2025-05-05T14:26:28.643515
LOAN_000156,CUST_001174,ACCT_00005003,BUSINESS,461408.37,7.29,A,189319.81,Scientist arm than hope may.,ACTIVE,2022-05-13T14:26:28.643740
LOAN_000157,CUST_001837,ACCT_00005249,BUSINESS,385417.8,9.33,A,546407.38,Together today one yard respond involve way performance.,ACTIVE,2023-03-03T14:26:28.643959
LOAN_000158,CUST_003488,ACCT_00004309,BUSINESS,261263.04,4.9,B,57719.43,Something only tree respond wonder last guess.,ACTIVE,2023-07-01T14:26:28.644201
LOAN_000159,CUST_001040,ACCT_00006041,BUSINESS,296084.75,5.06,C,574198.79,Class cut include say population.,PAID_OFF,2021-10-11T14:26:28.644437
LOAN_000160,CUST_001043,ACCT_00006949,PERSONAL,27581.23,6.42,C,308376.78,Believe form think reality today possible.,ACTIVE,2024-07-18T14:26:28.644667
LOAN_000161,CUST_000411,ACCT_00001680,AUTO,391634.46,4.12,D,647008.13,Office our stop exactly morning break tend.,PAID_OFF,2025-01-01T14:26:28.644893
LOAN_000162,CUST_001957,ACCT_00002694,PERSONAL,79123.07,5.35,B,49960.18,Value figure painting treat try.,DEFAULTED,2024-09-28T14:26:28.645111
LOAN_000163,CUST_002588,ACCT_00000038,AUTO,260213.53,7.76,B,266764.29,Perhaps style sometimes national west west move.,ACTIVE,2025-09-27T14:26:28.645336
LOAN_000164,CUST_002867,ACCT_00006947,AUTO,71813.68,5.64,D,618748.76,Trial any maintain north executive.,ACTIVE,2022-06-27T14:26:28.645557
LOAN_000165,CUST_000002,ACCT_00002935,PERSONAL,172193.88,4.93,D,537248.51,Rise high back executive situation soldier.,PAID_OFF,2022-05-17T14:26:28.645780
LOAN_000166,CUST_000278,ACCT_00002434,BUSINESS,170812.66,6.8,B,248168.5,Why past minute.,PAID_OFF,2024-08-31T14:26:28.646004
LOAN_000167,CUST_002096,ACCT_00006626,PERSONAL,411971.05,9.18,C,446476.9,Participant money store.,PAID_OFF,2024-12-25T14:26:28.646229
LOAN_000168,CUST_003073,ACCT_00006015,AUTO,64990.26,6.69,D,521055.86,Us region north reason respond number worry woman.,ACTIVE,2024-03-11T14:26:28.646458
LOAN_000169,CUST_003023,ACCT_00001883,BUSINESS,238056.86,5.1,B,352379.05,Ahead account certainly record business.,DEFAULTED,2021-12-30T14:26:28.646677
