TRANSACTION_ID,ACCOUNT_ID,TRANSACTION_TYPE,AMOUNT,BUSINESS_DATE,MEMO,CREATED_AT
TXN_00000059,ACCT_00000169,CREDIT,2100.62,2026-06-24,Home camera fight.,2026-09-20T15:49:40.279549
TXN_00000060,ACCT_00005966,DEBIT,1568.91,2026-08-31,Foot bed garden.,2026-09-20T15:49:40.279582
TXN_00000061,ACCT_00000601,DEBIT,7943.54,2026-08-28,Within any scene image late right road.,2026-09-20T15:49:40.279615
TXN_00000062,ACCT_00003224,CREDIT,6377.5,2026-09-08,Everyone skin save water.,2026-09-20T15:49:40.279648
TXN_00000063,ACCT_00005407,DEBIT,3200.17,2026-08-18,Main nothing though.,2026-09-20T15:49:40.279681
TXN_00000064,ACCT_00006293,CREDIT,9747.03,2026-07-18,Perhaps sister bill back cut citizen become.,2026-09-20T15:49:40.279713
TXN_00000065,ACCT_00004782,DEBIT,7674.48,2026-07-01,Onto skill continue exist.,2026-09-20T15:49:40.279746
TXN_00000066,ACCT_00003734,DEBIT,4881.05,2026-08-04,Cell system center well street push.,2026-09-20T15:49:40.279779
TXN_00000067,ACCT_00007011,DEBIT,4445.05,2026-07-03,Exactly through a wonder page company sit.,2026-09-20T15:49:40.279812
TXN_00000068,ACCT_00003040,DEBIT,6388.22,2026-09-04,Pick prove address why.,2026-09-20T15:49:40.279845
TXN_00000069,ACCT_00003153,DEBIT,1863.17,2026-07-31,Minute ahead project individual opportunity service.,2026-09-20T15:49:40.279877
TXN_00000070,ACCT_00001469,CREDIT,7140.81,2026-08-26,Open quality hope reduce state allow herself.,2026-09-20T15:49:40.279910
TXN_00000071,ACCT_00001065,CREDIT,3353.76,2026-09-01,Despite explain difference.,2026-09-20T15:49:40.279943
TXN_00000072,ACCT_00000028,CREDIT,6067.62,2026-09-14,Red must quite I carry amount.,2026-09-20T15:49:40.279976
TXN_00000073,ACCT_00002092,CREDIT,410.53,2026-07-17,Quickly almost site or significant get together.,2026-09-20T15:49:40.280008
TXN_00000074,ACCT_00005092,DEBIT,4414.88,2026-07-16,Expert into suddenly push range ability green.,2026-09-20T15:49:40.280042
TXN_00000075,ACCT_00004086,CREDIT,6638.96,2026-08-31,Control reveal win trip similar few.,2026-09-20T15:49:40.280075
TXN_00000076,ACCT_00005738,DEBIT,6206.96,2026-07-03,Market partner window war consider message apply phone.,2026-09-20T15:49:40.280115
TXN_00000077,ACCT_00003561,DEBIT,3894.14,2026-09-07,Buy soldier where unit address prevent.,2026-09-20T15:49:40.280148
TXN_00000078,ACCT_00006642,CREDIT,3625.87,2026-08-17,Hope blood enough approach identify us.,2026-09-20T15:49:40.280182
TXN_00000079,ACCT_00000882,DEBIT,9818.19,2026-08-05,Billion crime bring.,2026-09-20T15:49:40.280214
TXN_00000080,ACCT_00003706,DEBIT,5277.81,2026-07-31,Market these stock lay deep.,2026-09-20T15:49:40.280247
TXN_00000081,ACCT_00006624,DEBIT,7426.24,2026-09-18,Democratic free choice old plant indicate send.,2026-09-20T15:49:40.280280
TXN_00000082,ACCT_00000825,CREDIT,8034.69,2026-08-06,Compare painting agree subject.,2026-09-20T15:49:40.280313
TXN_00000083,ACCT_00000858,CREDIT,6036.74,2026-07-09,Month director brother continue mean southern.,2026-09-20T15:49:40.280345
TXN_00000084,ACCT_00002570,DEBIT,4821.92,2026-08-15,Which goal reflect him health third.,2026-09-20T15:49:40.280378
TXN_00000085,ACCT_00003657,CREDIT,9577.84,2026-08-05,Account upon door safe.,2026-09-20T15:49:40.280411
TXN_00000086,ACCT_00005266,CREDIT,7348.4,2026-08-27,Doctor water military country effect former walk start.,2026-09-20T15:49:40.280444
TXN_00000087,ACCT_00001678,DEBIT,9760.43,2026-07-25,Staff include one leader.,2026-09-20T15:49:40.280476
TXN_00000088,ACCT_00004704,DEBIT,721.62,2026-06-27,Authority light he without very.,2026-09-20T15:49:40.280509
TXN_00000089,ACCT_00001747,CREDIT,8174.65,2026-08-09,Rule piece bag allow.,2026-09-20T15:49:40.280542
TXN_00000090,ACCT_00003137,DEBIT,6166.45,2026-07-28,Mean soon network really ago.,2026-09-20T15:49:40.280574
TXN_00000091,ACCT_00006140,DEBIT,8595.11,2026-08-03,Clearly leader their your front.,2026-09-20T15:49:40.280607
TXN_00000092,ACCT_00002956,DEBIT,1433.55,2026-09-18,Effort already approach health doctor TV anything.,2026-09-20T15:49:40.280640
TXN_00000093,ACCT_00006569,DEBIT,7861.1,2026-08-30,Share big phone upon two.,2026-09-20T15:49:40.280672
TXN_00000094,ACCT_00004086,CREDIT,3083.84,2026-07-04,Seven sister far respond.,2026-09-20T15:49:40.280705
TXN_00000095,ACCT_00006317,CREDIT,8879.17,2026-07-16,From try guess ball.,2026-09-20T15:49:40.280739
TXN_00000096,ACCT_00005492,CREDIT,573.45,2026-09-20,Media here make before indicate.,2026-09-20T15:49:40.280771
TXN_00000097,ACCT_00002876,DEBIT,6368.63,2026-08-10,Site water home success in up.,2026-09-20T15:49:40.280804
TXN_00000098,ACCT_00001863,DEBIT,8747.13,2026-07-29,Trade particularly hold.,2026-09-20T15:49:40.280837
TXN_00000099,ACCT_00001584,DEBIT,6144.52,2026-09-20,Want dinner Mr hold answer institution interest so.,2026-09-20T15:49:40.280870
TXN_00000100,ACCT_00002711,DEBIT,8872.36,2026-08-02,Pattern bad long high.,2026-09-20T15:49:40.280903
TXN_00000101,ACCT_00004900,DEBIT,1714.34,2026-07-11,Likely will television.,2026-09-20T15:49:40.280935
TXN_00000102,ACCT_00003832,DEBIT,7092.09,2026-07-19,Return teach during fact.,2026-09-20T15:49:40.280968
TXN_00000103,ACCT_00002351,CREDIT,7749.33,2026-08-29,Suddenly child our same not example product them.,2026-09-20T15:49:40.281001
TXN_00000104,ACCT_00003238,CREDIT,3179.42,2026-09-09,Vote recently leg major.,2026-09-20T15:49:40.281033
TXN_00000105,ACCT_00000629,CREDIT,1643.55,2026-08-18,Consumer accept yard among much because military.,2026-09-20T15:49:40.281066
TXN_00000106,ACCT_00006224,DEBIT,5395.2,2026-09-03,Public oil range move commercial last.,2026-09-20T15:49:40.281098
TXN_00000107,ACCT_00007039,DEBIT,4450.29,2026-07-25,Score long man record.,2026-09-20T15:49:40.281131
TXN_00000108,ACCT_00004937,DEBIT,7331.7,2026-08-12,Day article government although out.,2026-09-20T15:49:40.281163
TXN_00000109,ACCT_00005334,CREDIT,2518.45,2026-07-05,Job grow game who.,2026-09-20T15:49:40.281195
TXN_00000110,ACCT_00002193,DEBIT,5941.21,2026-07-10,Blue her number change.,2026-09-20T15:49:40.281228
TXN_00000111,ACCT_00003077,CREDIT,3162.58,2026-06-26,Market check result create than interview but.,2026-09-20T15:49:40.281261
TXN_00000112,ACCT_00004708,CREDIT,1766.35,2026-08-18,Pull result cause tend course.,2026-09-20T15:49:40.281294
TXN_00000113,ACCT_00005482,DEBIT,5533.11,2026-09-20,Interview stand window five professor scientist scene push.,2026-09-20T15:49:40.281327
TXN_00000114,ACCT_00004708,DEBIT,7671.49,2026-07-25,Beautiful no Congress southern name.,2026-09-20T15:49:40.281360
TXN_00000115,ACCT_00005447,DEBIT,8439.53,2026-07-25,Rock industry central should anyone difficult but.,2026-09-20T15:49:40.281392
TXN_00000116,ACCT_00006994,DEBIT,6660.98,2026-07-30,Start response become girl sure field around fly.,2026-09-20T15:49:40.281425
TXN_00000117,ACCT_00004325,CREDIT,65.34,2026-07-26,Community community population total.,2026-09-20T15:49:40.281457
TXN_00000118,ACCT_00000482,CREDIT,6742.32,2026-07-13,Body across because key perhaps see suffer.,2026-09-20T15:49:40.281490
TXN_00000119,ACCT_00001279,CREDIT,895.85,2026-09-05,Represent become almost.,2026-09-20T15:49:40.281522
TXN_00000120,ACCT_00006475,DEBIT,9377.61,2026-09-09,Summer modern yeah reflect store.,2026-09-20T15:49:40.281555
TXN_00000121,ACCT_00005350,CREDIT,4534.78,2026-09-18,Wide leader husband first letter.,2026-09-20T15:49:40.281587
TXN_00000122,ACCT_00003907,CREDIT,5794.73,2026-08-16,Worry science like common ask baby movie.,2026-09-20T15:49:40.281620
TXN_00000123,ACCT_00002276,CREDIT,4148.37,2026-09-11,Try contain under myself.,2026-09-20T15:49:40.281653
TXN_00000124,ACCT_00005073,CREDIT,8062.14,2026-07-24,Prepare gun lot physical structure health newspaper.,2026-09-20T15:49:40.281686
TXN_00000125,ACCT_00005623,CREDIT,7964.05,2026-09-09,State sister same first believe.,2026-09-20T15:49:40.281718
TXN_00000126,ACCT_00005898,CREDIT,555.38,2026-08-17,Star season service just threat loss require.,2026-09-20T15:49:40.281751
TXN_00000127,ACCT_00001922,CREDIT,9948.11,2026-09-10,Bed tree up act world tend budget.,2026-09-20T15:49:40.281784
TXN_00000128,ACCT_00000009,DEBIT,3928.19,2026-08-04,Sound artist stuff song.,2026-09-20T15:49:40.281816
TXN_00000129,ACCT_00002804,CREDIT,3791.12,2026-08-13,Move south low lay.,2026-09-20T15:49:40.281849
TXN_00000130,ACCT_00003781,CREDIT,4198.34,2026-06-30,Debate after coach three market.,2026-09-20T15:49:40.281881
TXN_00000131,ACCT_00006931,CREDIT,3633.91,2026-07-24,Owner raise our policy music end page.,2026-09-20T15:49:40.281914
TXN_00000132,ACCT_00001578,DEBIT,5883.62,2026-07-21,Could hotel member Mr painting decide situation.,2026-09-20T15:49:40.281947
TXN_00000133,ACCT_00003930,CREDIT,845.06,2026-09-13,Include season product believe senior.,2026-09-20T15:49:40.281979
TXN_00000134,ACCT_00002766,DEBIT,4337.87,2026-08-10,Available ago parent I huge.,2026-09-20T15:49:40.282011
TXN_00000135,ACCT_00005033,DEBIT,7924.81,2026-09-01,Every ground simple population.,2026-09-20T15:49:40.282045
TXN_00000136,ACCT_00001977,DEBIT,554.61,2026-08-13,Pay suddenly sing according clearly cell plan contain.,2026-09-20T15:49:40.282077
TXN_00000137,ACCT_00003492,DEBIT,1181.62,2026-06-23,Situation more measure husband full direction.,2026-09-20T15:49:40.282111
TXN_00000138,ACCT_00003976,DEBIT,8639.51,2026-09-08,Rate expert religious none.,2026-09-20T15:49:40.282143
TXN_00000139,ACCT_00006863,CREDIT,9508.22,2026-08-09,Spring civil may kind appear response.,2026-09-20T15:49:40.282175
TXN_00000140,ACCT_00001805,CREDIT,2205.08,2026-09-19,Character foreign enjoy myself out church.,2026-09-20T15:49:40.282208
TXN_00000141,ACCT_00002638,DEBIT,7762.53,2026-08-14,Look this middle challenge threat.,2026-09-20T15:49:40.282241
TXN_00000142,ACCT_00001351,DEBIT,9509.88,2026-06-22,Clearly white must.,2026-09-20T15:49:40.282273
TXN_00000143,ACCT_00004327,DEBIT,6353.1,2026-07-29,Lose rock discussion charge case evening.,2026-09-20T15:49:40.282306
TXN_00000144,ACCT_00001221,DEBIT,633.48,2026-07-09,Outside exactly few including voice difficult.,2026-09-20T15:49:40.282338
TXN_00000145,ACCT_00006579,CREDIT,1123.21,2026-09-13,Level must court still stop especially know.,2026-09-20T15:49:40.282371
TXN_00000146,ACCT_00003924,DEBIT,8587.58,2026-09-14,American store along administration time.,2026-09-20T15:49:40.282404
TXN_00000147,ACCT_00003538,CREDIT,1226.36,2026-07-05,Hundred hair authority green responsibility.,2026-09-20T15:49:40.282435
TXN_00000148,ACCT_00000448,DEBIT,4340.32,2026-07-24,Local approach ok popular part late physical home.,2026-09-20T15:49:40.282468
TXN_00000149,ACCT_00000473,CREDIT,5766.04,2026-08-17,Court sense race chair radio bad.,2026-09-20T15:49:40.282501
TXN_00000150,ACCT_00000971,DEBIT,4606.61,2026-07-09,Image realize able education push think.,2026-09-20T15:49:40.282536
TXN_00000151,ACCT_00005242,CREDIT,4436.22,2026-07-27,Despite capital hold prove national seat computer.,2026-09-20T15:49:40.282570
TXN_00000152,ACCT_00005528,DEBIT,1048.05,2026-07-09,Him government collection officer admit arm.,2026-09-20T15:49:40.282602
TXN_00000153,ACCT_00002336,CREDIT,4437.21,2026-07-10,Nothing eye decide station.,2026-09-20T15:49:40.282634
TXN_00000154,ACCT_00005095,CREDIT,6734.27,2026-07-12,Pm herself heavy conference quality.,2026-09-20T15:49:40.282667
TXN_00000155,ACCT_00003779,CREDIT,6162.72,2026-09-12,Level present end either local student eye.,2026-09-20T15:49:40.282701
TXN_00000156,ACCT_00001219,DEBIT,6054.81,2026-07-17,Defense admit popular economic stop social whom.,2026-09-20T15:49:40.282735
TXN_00000157,ACCT_00001794,DEBIT,5136.02,2026-07-20,Not ten exist few education daughter occur.,2026-09-20T15:49:40.282771
TXN_00000158,ACCT_00004433,CREDIT,7124.37,2026-07-25,Close attorney plant miss during design.,2026-09-20T15:49:40.282805
TXN_00000159,ACCT_00006960,DEBIT,2567.09,2026-08-24,Again voice stock poor huge room task.,2026-09-20T15:49:40.282839
TXN_00000160,ACCT_00003730,CREDIT,6221.0,2026-07-15,Strong discussion month us card.,2026-09-20T15:49:40.282872
TXN_00000161,ACCT_00006069,CREDIT,5383.54,2026-07-27,Power attention success war.,2026-09-20T15:49:40.282906
TXN_00000162,ACCT_00001450,CREDIT,9865.26,2026-07-18,Particularly third administration as.,2026-09-20T15:49:40.282939
TXN_00000163,ACCT_00001536,DEBIT,131.98,2026-09-16,Design prove ball present.,2026-09-20T15:49:40.282972
TXN_00000164,ACCT_00004669,CREDIT,657.38,2026-08-10,Relate represent Mr life return discussion.,2026-09-20T15:49:40.283007
TXN_00000165,ACCT_00002109,CREDIT,8145.59,2026-07-07,Poor since also decade two cause police wind.,2026-09-20T15:49:40.283040
TXN_00000166,ACCT_00002908,DEBIT,1165.45,2026-08-27,You land only role reach.,2026-09-20T15:49:40.283074
TXN_00000167,ACCT_00006980,DEBIT,3852.6,2026-09-01,Pick voice join up.,2026-09-20T15:49:40.283107
TXN_00000168,ACCT_00005955,DEBIT,665.71,2026-08-10,Job now dog not book.,2026-09-20T15:49:40.283141
TXN_00000169,ACCT_00003129,CREDIT,7649.53,2026-07-16,Cold break nature same fear appear against.,2026-09-20T15:49:40.283175
TXN_00000170,ACCT_00000542,CREDIT,187.46,2026-08-31,Apply entire half size.,2026-09-20T15:49:40.283208
TXN_00000171,ACCT_00004381,DEBIT,9475.01,2026-07-31,Sort lawyer again marriage common.,2026-09-20T15:49:40.283242
TXN_00000172,ACCT_00002528,DEBIT,6410.72,2026-07-25,Toward need whether his set international school.,2026-09-20T15:49:40.283274
TXN_00000173,ACCT_00000654,CREDIT,7923.35,2026-09-13,Argue same structure sea policy.,2026-09-20T15:49:40.283306
TXN_00000174,ACCT_00004653,CREDIT,6704.38,2026-08-30,Available little could free happy me vote employee.,2026-09-20T15:49:40.283340
TXN_00000175,ACCT_00005439,DEBIT,6610.02,2026-08-04,Inside line share family wide black simply society.,2026-09-20T15:49:40.283372
TXN_00000176,ACCT_00004670,CREDIT,6390.47,2026-07-22,Anything range man site church morning.,2026-09-20T15:49:40.283404
TXN_00000177,ACCT_00004413,DEBIT,7965.1,2026-09-05,Of better great do human type type about.,2026-09-20T15:49:40.283436
TXN_00000178,ACCT_00005355,DEBIT,3652.14,2026-07-17,Table boy although result.,2026-09-20T15:49:40.283469
TXN_00000179,ACCT_00005957,DEBIT,7094.54,2026-08-03,Thought follow easy property no front system.,2026-09-20T15:49:40.283501
TXN_00000180,ACCT_00006613,DEBIT,273.07,2026-07-26,Police national year lose she carry our.,2026-09-20T15:49:40.283534
TXN_00000181,ACCT_00004868,DEBIT,3045.6,2026-08-12,Choose especially change ahead hard.,2026-09-20T15:49:40.283566
TXN_00000182,ACCT_00002306,CREDIT,609.23,2026-08-07,Cell major food.,2026-09-20T15:49:40.283598
TXN_00000183,ACCT_00005590,DEBIT,3292.81,2026-07-05,Arm bank all student.,2026-09-20T15:49:40.283630
TXN_00000184,ACCT_00006231,DEBIT,6166.11,2026-09-01,Before difference market media ask traditional.,2026-09-20T15:49:40.283663
TXN_00000185,ACCT_00004052,DEBIT,9996.58,2026-06-22,Range plan involve size election difference.,2026-09-20T15:49:40.283695
TXN_00000186,ACCT_00005128,DEBIT,6226.28,2026-06-25,Return even economy stop bed.,2026-09-20T15:49:40.283727
TXN_00000187,ACCT_00001316,CREDIT,7898.17,2026-07-14,Industry eat name fall so list.,2026-09-20T15:49:40.283760
TXN_00000188,ACCT_00004887,DEBIT,220.88,2026-07-18,Drug group true age law.,2026-09-20T15:49:40.283792
TXN_00000189,ACCT_00006914,CREDIT,9572.57,2026-09-14,Nearly feeling evening past end.,2026-09-20T15:49:40.283825
TXN_00000190,ACCT_00005247,CREDIT,8270.38,2026-07-16,Cell reality read hundred watch stay call tell.,2026-09-20T15:49:40.283857
TXN_00000191,ACCT_00000595,CREDIT,3089.92,2026-09-10,Positive eight me card difference together charge Mrs.,2026-09-20T15:49:40.283890
TXN_00000192,ACCT_00003514,CREDIT,8712.16,2026-08-02,Cover draw member international consider.,2026-09-20T15:49:40.283923
TXN_00000193,ACCT_00000787,DEBIT,4774.3,2026-07-23,Owner of character concern past hot sing.,2026-09-20T15:49:40.283955
TXN_00000194,ACCT_00005611,DEBIT,8354.24,2026-08-16,Style throw action eye film.,2026-09-20T15:49:40.283987
TXN_00000195,ACCT_00001337,DEBIT,4098.19,2026-07-22,Perform other indeed lawyer page beat suffer.,2026-09-20T15:49:40.284020
TXN_00000196,ACCT_00000411,DEBIT,3429.44,2026-07-16,Dog every across.,2026-09-20T15:49:40.284053
TXN_00000197,ACCT_00006096,CREDIT,5548.17,2026-08-16,Sport us skill third interesting reality.,2026-09-20T15:49:40.284085
TXN_00000198,ACCT_00005557,DEBIT,2556.9,2026-06-30,Yeah the his budget.,2026-09-20T15:49:40.284117
TXN_00000199,ACCT_00003930,CREDIT,7119.77,2026-07-07,Guy today skill receive difference across design.,2026-09-20T15:49:40.284149
TXN_00000200,ACCT_00005753,CREDIT,7019.63,2026-08-29,Candidate sister dog effort.,2026-09-20T15:49:40.284181
TXN_00000201,ACCT_00002334,DEBIT,344.48,2026-09-13,Small culture stuff.,2026-09-20T15:49:40.284214
TXN_00000202,ACCT_00001617,DEBIT,3661.35,2026-07-16,Window institution only put especially may including.,2026-09-20T15:49:40.284252
TXN_00000203,ACCT_00003389,DEBIT,4478.76,2026-07-07,Try against opportunity.,2026-09-20T15:49:40.284285
TXN_00000204,ACCT_00004575,CREDIT,1788.95,2026-09-01,House rate firm pressure yet hospital individual.,2026-09-20T15:49:40.284317
TXN_00000205,ACCT_00005622,CREDIT,6111.62,2026-07-01,Bed single raise follow.,2026-09-20T15:49:40.284349
TXN_00000206,ACCT_00003836,CREDIT,2647.04,2026-09-08,Fish international do generation.,2026-09-20T15:49:40.284382
TXN_00000207,ACCT_00004998,CREDIT,5902.06,2026-08-07,Hotel role source agreement avoid attention deep.,2026-09-20T15:49:40.284414
TXN_00000208,ACCT_00004146,DEBIT,1819.69,2026-08-05,Movie worry culture.,2026-09-20T15:49:40.284446
TXN_00000209,ACCT_00000617,DEBIT,836.67,2026-09-03,Response at dog find dog bar.,2026-09-20T15:49:40.284480
TXN_00000210,ACCT_00006634,CREDIT,2331.73,2026-08-18,A ago measure bit their six.,2026-09-20T15:49:40.284512
TXN_00000211,ACCT_00005102,DEBIT,9833.27,2026-07-26,Perhaps apply someone above easy listen.,2026-09-20T15:49:40.284544
TXN_00000212,ACCT_00006160,CREDIT,6976.61,2026-07-22,Simply seek until court keep garden.,2026-09-20T15:49:40.284577
TXN_00000213,ACCT_00000450,CREDIT,5776.78,2026-06-26,Interesting body speak probably.,2026-09-20T15:49:40.284609
TXN_00000214,ACCT_00001356,CREDIT,5066.48,2026-08-21,A throughout model after.,2026-09-20T15:49:40.284641
TXN_00000215,ACCT_00005055,CREDIT,7416.54,2026-08-18,Simple own win majority.,2026-09-20T15:49:40.284674
TXN_00000216,ACCT_00001627,CREDIT,2568.12,2026-08-28,Nor success record easy anyone well section miss.,2026-09-20T15:49:40.284706
TXN_00000217,ACCT_00000749,DEBIT,5230.65,2026-09-20,Gas vote help expert.,2026-09-20T15:49:40.284738
TXN_00000218,ACCT_00000961,DEBIT,3140.36,2026-08-08,Born grow water whatever development.,2026-09-20T15:49:40.284771
TXN_00000219,ACCT_00003910,CREDIT,6024.18,2026-09-08,Sort window respond out.,2026-09-20T15:49:40.284803
TXN_00000220,ACCT_00005507,CREDIT,8702.25,2026-09-07,Stop economy main throw.,2026-09-20T15:49:40.284835
TXN_00000221,ACCT_00001727,CREDIT,9826.88,2026-08-20,Century fund mouth nation should.,2026-09-20T15:49:40.284867
